LSOA21CD,PM10d-2016-min,PM10d-2016-max,PM10d-2016-mean,PM10d-2016-std,PM10d-2016-median
E01000076,5.243,18.727,5.814,1.31,5.541
E01000077,5.285,26.249,6.274,2.463,5.63
E01000078,4.935,39.082,6.331,3.385,5.421
E01000079,4.804,26.1,5.55,2.417,5.004
E01000080,4.901,25.408,5.7,1.875,5.257
E01000081,4.757,6.211,4.977,0.165,4.953
E01000082,4.774,15.696,5.276,1.172,4.985
E01000083,5.018,31.627,6.033,2.767,5.398
E01000084,5.05,29.793,6.003,2.22,5.468
E01000085,5.074,17.897,5.651,0.876,5.496
E01000086,5.268,19.259,6.134,1.745,5.72
E01000087,5.077,30.531,6.742,3.063,5.909
E01000088,4.666,7.694,5.094,0.389,5.049
E01000089,4.586,5.315,4.856,0.15,4.844
E01000090,4.543,34.927,5.642,2.701,5.042
E01000091,5.173,6.352,5.455,0.276,5.317
E01000093,5.285,68.223,8.708,8.627,6.131
E01000094,4.836,7.672,5.214,0.316,5.133
E01000095,4.787,63.332,7.569,5.733,5.94
E01000096,5.236,67.982,8.063,5.954,6.166
E01000097,4.976,17.51,5.796,1.416,5.355
E01000098,4.957,17.984,5.636,1.541,5.299
E01000099,5.017,20.077,5.545,1.236,5.218
E01000100,4.686,11.664,5.209,1.049,4.977
E01000101,4.752,28.023,5.623,2.257,5.058
E01000102,4.689,7.248,5.106,0.468,4.984
