LSOA21CD,PM10-2019-min,PM10-2019-max,PM10-2019-mean,PM10-2019-std,PM10-2019-median
E01002671,15.423,25.347,15.783,0.779,15.632
E01002672,15.316,25.102,15.864,0.949,15.656
E01002673,15.342,16.839,15.512,0.222,15.449
E01002674,15.481,24.226,15.862,0.796,15.667
E01002675,15.639,26.9,16.254,1.051,16.048
E01002676,15.136,28.188,15.699,1.386,15.337
E01002677,15.522,26.406,16.473,1.564,15.971
E01002678,15.14,39.402,16.52,2.153,15.836
E01002679,16.171,32.52,18.391,2.395,17.884
E01002680,15.542,27.771,16.272,1.637,15.771
E01002681,15.648,26.566,16.446,1.368,16.058
E01002682,15.689,31.615,17.211,1.576,16.868
E01002686,15.319,27.262,16.262,1.13,15.782
E01002687,17.29,50.116,20.156,5.026,18.488
E01002689,17.139,45.602,19.043,4.756,17.455
E01002690,17.182,46.644,19.837,5.725,17.908
E01002691,17.025,35.967,18.44,2.339,17.682
E01002692,17.026,48.589,20.361,5.34,18.121
E01002693,17.022,25.969,17.569,0.982,17.335
E01002694,20.874,28.437,22.351,1.31,22.014
E01002695,20.748,40.143,22.133,2.492,21.701
E01002696,19.382,69.262,21.392,4.247,20.616
E01002697,21.33,41.51,22.73,2.637,22.046
E01002698,18.402,23.778,19.132,0.871,18.903
E01002699,18.726,20.767,19.235,0.289,19.216
E01002700,19.003,25.369,20.269,0.818,20.122
E01002701,20.042,47.775,21.557,3.856,20.426
E01002702,19.909,40.59,20.686,2.511,20.164
E01002703,19.922,37.285,20.79,2.07,20.28
E01002704,20.504,61.648,22.451,3.99,21.406
E01002706,20.129,49.722,21.122,2.622,20.719
