LSOA21CD,NO2-2019-min,NO2-2019-max,NO2-2019-mean,NO2-2019-std,NO2-2019-median
E01003869,25.601,62.51,28.681,4.697,27.343
E01003870,24.899,46.447,26.451,2.096,25.921
E01003871,26.411,40.761,27.877,2.056,27.354
E01003872,26.35,66.776,29.476,5.428,27.582
E01003873,26.034,52.807,28.522,2.91,27.698
E01003874,25.598,41.086,27.117,2.109,26.407
E01003875,24.806,43.156,26.108,1.862,25.67
E01003876,25.958,62.807,29.097,4.34,27.638
E01003877,25.457,30.11,26.296,0.675,26.127
E01003878,24.296,36.253,24.94,0.925,24.7
E01003879,25.311,33.822,26.086,1.268,25.698
E01003880,24.235,47.159,26.086,3.07,25.122
E01003881,23.815,35.833,24.982,1.868,24.38
E01003882,24.991,49.675,26.922,3.386,25.853
E01003883,24.84,32.038,25.383,0.568,25.284
E01003884,23.788,43.91,25.072,1.746,24.697
E01003885,23.692,39.664,24.996,1.892,24.539
E01003886,23.821,39.821,24.972,1.866,24.405
E01003887,23.331,46.077,24.738,2.179,24.129
E01003888,22.319,43.639,23.49,1.774,22.857
E01003889,22.179,39.433,22.914,1.14,22.573
E01003890,23.813,35.016,24.632,1.446,24.255
E01003891,23.488,39.422,24.91,2.005,24.311
E01003892,24.425,48.165,25.454,1.377,25.249
E01003893,25.934,49.634,27.235,2.587,26.623
E01003894,25.788,46.7,27.513,2.412,26.72
E01003895,24.367,48.45,25.989,2.459,25.476
E01003896,24.344,77.146,28.615,6.129,26.656
E01003897,25.432,48.854,27.272,2.885,26.396
E01003898,24.542,36.916,25.717,1.867,25.154
E01003899,24.47,37.217,25.703,2.057,25.05
E01003900,23.367,43.944,24.41,1.848,23.899
E01003901,24.638,53.278,26.971,3.856,25.879
E01003902,24.651,42.13,26.602,2.447,25.854
E01003903,23.446,60.977,26.093,3.758,25.22
E01003904,24.676,50.144,25.427,1.772,24.992
E01003905,26.191,37.725,27.212,1.184,26.889
E01003906,25.74,38.218,26.707,1.259,26.335
E01003907,24.796,38.585,26.076,1.573,25.567
E01003908,25.065,32.796,25.741,0.712,25.542
